id,label,kind,type,count,per_stage,when,line,control,min,max,step,page,group,validate
title,Title,scalar,text,,,,,text,,,,1,,
n_stages,Number of Stages,scalar,int,,,,,number,1,4,1,1,Configuration,
units,Units,scalar,choice,,,,same,"radio:SI=0,English=1",,,,1,Configuration,
aero_type,Aerodynamic Data,scalar,choice,,,,same,"radio:CL/CD/CP=0,CN/CA/CP=1",,,,1,Configuration,
n_aoa,Number of Angles of Attack,scalar,int,,stage,,,number,3,8,1,3,Aerodynamic Data,
aoa,Angles of Attack,vector,float,n_aoa,stage,,,number,-99,99,0.0001,3,Aerodynamic Data,
n_mach,Number of Mach Numbers,scalar,int,,stage,,,number,2,15,1,3,Aerodynamic Data,
mach,Mach Numbers,vector,float,n_mach,stage,,,number,0,99,0.0001,3,Aerodynamic Data,
cn,Normal Force Coefficient (CN),matrix,float,n_mach x n_aoa,stage,,,grid,-99,99,0.0001,3,Aerodynamic Data,
ca,Axial Force Coefficient (CA),matrix,float,n_mach x n_aoa,stage,,,grid,-99,99,0.0001,4,Aerodynamic Data,
cp,Center of Pressure (CP),matrix,float,n_mach x n_aoa,stage,,,grid,-9999,9999,0.0001,5,Aerodynamic Data,
dca_off,Power-Off Delta Axial Force Coefficient,vector,float,n_mach,stage,,,number,-99,99,0.0001,6,Aerodynamic Data,
n_weight,Number of Weight Points,scalar,int,,stage,,,number,2,10,1,7,CG and Inertia,
weight,Weight,vector,float,n_weight,stage,,,number,0,,0.0001,7,CG and Inertia,
cg,Center of Gravity (CG),vector,float,n_weight,stage,,,number,0,,0.0001,7,CG and Inertia,
inertia,Pitch Inertia,vector,float,n_weight,stage,,,number,0,,0.0001,7,CG and Inertia,
tvc_gimbal,Thrust Vectoring Gimbal Location,scalar,float,,stage,,,number,0,,0.0001,8,Thrust Vectoring,
tvc_percent,Percent of Thrust for Pitch TVC,scalar,float,,stage,,same,number,0,1,0.01,8,Thrust Vectoring,
tvc_maxangle,Maximum Thrust Vector Angle,scalar,float,,stage,,same,number,0,90,0.0001,8,Thrust Vectoring,
launch_mode,Launch Mode,scalar,choice,,,,,"radio:Conventional Flight=0,Vertical Launch=1",,,,9,Launch,
launch_azimuth,Launch Azimuth,scalar,float,,,,same,number,0,359.9999,0.0001,9,Launch,no negatives; 360 not allowed (enter as 0); label Initial Heading when Conventional
nose_heating_model,Nose Stagnation Heating Model,scalar,choice,,,,same,"radio:No=0,Yes=1",,,,9,Launch,
nose_radius,Nose Radius,scalar,float,,,,same,number,0,9000000,0.0001,9,Launch,enter 0 if heating model = No
initial_altitude,Initial Altitude,scalar,float,,,,,number,0,9000000,0.0001,9,Initial Conditions,not negative
initial_velocity,Initial Velocity,scalar,float,,,,same,number,0,9000000,0.0001,9,Initial Conditions,not negative
geodetic_latitude,Geodetic Latitude,scalar,float,,,,same,number,-90,90,0.0001,9,Initial Conditions,
